driver_id,lat,lon,ts,speed_mps
101,14.550000,121.020000,2024-01-01 10:00:00,0.3
101,14.550010,121.020010,2024-01-01 10:02:00,0.3
101,14.550020,121.020020,2024-01-01 10:04:00,0.3
101,14.550030,121.020000,2024-01-01 10:06:00,0.3
101,14.550040,121.020010,2024-01-01 10:08:00,0.3
101,14.550000,121.020020,2024-01-01 10:10:00,0.3
101,14.550010,121.020000,2024-01-01 10:12:00,0.3
101,14.550020,121.020010,2024-01-01 10:14:00,0.3
101,14.550030,121.020020,2024-01-01 10:16:00,0.3
101,14.550040,121.020000,2024-01-01 10:18:00,0.3
101,14.550000,121.020010,2024-01-01 10:20:00,0.3
101,14.550010,121.020020,2024-01-01 10:22:00,0.3
101,14.550020,121.020000,2024-01-01 10:24:00,0.3
101,14.550030,121.020010,2024-01-01 10:26:00,0.3
101,14.550040,121.020020,2024-01-01 10:28:00,0.3
101,14.550000,121.020000,2024-01-01 10:30:00,0.3
101,14.550010,121.020010,2024-01-01 10:32:00,0.3
101,14.550020,121.020020,2024-01-01 10:34:00,0.3
101,14.550030,121.020000,2024-01-01 10:36:00,0.3
101,14.550040,121.020010,2024-01-01 10:38:00,0.3
101,14.550000,121.020020,2024-01-01 10:40:00,0.3
101,14.550010,121.020000,2024-01-01 10:42:00,0.3
101,14.550020,121.020010,2024-01-01 10:44:00,0.3
101,14.550030,121.020020,2024-01-01 10:46:00,0.3
101,14.550040,121.020000,2024-01-01 10:48:00,0.3
101,14.550000,121.020010,2024-01-01 10:50:00,0.3
101,14.550010,121.020020,2024-01-01 10:52:00,0.3
101,14.550020,121.020000,2024-01-01 10:54:00,0.3
101,14.550030,121.020010,2024-01-01 10:56:00,0.3
101,14.550040,121.020020,2024-01-01 10:58:00,0.3
101,14.550000,121.020000,2024-01-01 11:00:00,0.3
101,14.550010,121.020010,2024-01-01 11:02:00,0.3
101,14.550020,121.020020,2024-01-01 11:04:00,0.3
101,14.550030,121.020000,2024-01-01 11:06:00,0.3
101,14.550040,121.020010,2024-01-01 11:08:00,0.3
101,14.550000,121.020020,2024-01-01 11:10:00,0.3
101,14.550010,121.020000,2024-01-01 11:12:00,0.3
101,14.550020,121.020010,2024-01-01 11:14:00,0.3
101,14.550030,121.020020,2024-01-01 11:16:00,0.3
101,14.550040,121.020000,2024-01-01 11:18:00,0.3
202,14.500000,121.000000,2024-01-02 10:00:00,1.0
202,14.500010,121.000010,2024-01-02 10:05:00,1.0
202,14.500020,121.000000,2024-01-02 10:10:00,1.0
202,14.500000,121.000010,2024-01-02 10:15:00,1.0
202,14.500010,121.000000,2024-01-02 10:20:00,1.0
202,14.500020,121.000010,2024-01-02 10:25:00,1.0
202,14.500000,121.000000,2024-01-02 10:30:00,1.0
202,14.500010,121.000010,2024-01-02 10:35:00,1.0
202,14.500020,121.000000,2024-01-02 10:40:00,1.0
202,14.500000,121.000010,2024-01-02 10:45:00,1.0
202,14.500000,121.000000,2024-01-02 10:50:00,7.0
202,14.502857,121.004286,2024-01-02 10:55:00,7.0
202,14.505714,121.008571,2024-01-02 11:00:00,7.0
202,14.508571,121.012857,2024-01-02 11:05:00,7.0
202,14.511429,121.017143,2024-01-02 11:10:00,7.0
202,14.514286,121.021429,2024-01-02 11:15:00,7.0
202,14.517143,121.025714,2024-01-02 11:20:00,7.0
202,14.520000,121.030000,2024-01-02 11:25:00,7.0
202,14.520000,121.030000,2024-01-02 11:30:00,0.5
202,14.520010,121.030010,2024-01-02 11:34:00,0.5
202,14.520020,121.030000,2024-01-02 11:38:00,0.5
202,14.520000,121.030010,2024-01-02 11:42:00,0.5
202,14.520010,121.030000,2024-01-02 11:46:00,0.5
202,14.520020,121.030010,2024-01-02 11:50:00,0.5
202,14.520000,121.030000,2024-01-02 11:54:00,0.5
202,14.520010,121.030010,2024-01-02 11:58:00,0.5
202,14.520000,121.030000,2024-01-02 12:05:00,7.0
202,14.522857,121.034286,2024-01-02 12:10:00,7.0
202,14.525714,121.038571,2024-01-02 12:15:00,7.0
202,14.528571,121.042857,2024-01-02 12:20:00,7.0
202,14.531429,121.047143,2024-01-02 12:25:00,7.0
202,14.534286,121.051429,2024-01-02 12:30:00,7.0
202,14.537143,121.055714,2024-01-02 12:35:00,7.0
202,14.540000,121.060000,2024-01-02 12:40:00,7.0
202,14.540000,121.060000,2024-01-02 12:45:00,0.2
202,14.540008,121.060008,2024-01-02 12:47:00,0.2
202,14.540016,121.060016,2024-01-02 12:49:00,0.2
202,14.540024,121.060024,2024-01-02 12:51:00,0.2
202,14.540032,121.060000,2024-01-02 12:53:00,0.2
202,14.540000,121.060008,2024-01-02 12:55:00,0.2
202,14.540008,121.060016,2024-01-02 12:57:00,0.2
202,14.540016,121.060024,2024-01-02 12:59:00,0.2
202,14.540024,121.060000,2024-01-02 13:01:00,0.2
202,14.540032,121.060008,2024-01-02 13:03:00,0.2
202,14.540000,121.060016,2024-01-02 13:05:00,0.2
202,14.540008,121.060024,2024-01-02 13:07:00,0.2
202,14.540016,121.060000,2024-01-02 13:09:00,0.2
202,14.540024,121.060008,2024-01-02 13:11:00,0.2
202,14.540032,121.060016,2024-01-02 13:13:00,0.2
202,14.540000,121.060024,2024-01-02 13:15:00,0.2
202,14.540008,121.060000,2024-01-02 13:17:00,0.2
202,14.540016,121.060008,2024-01-02 13:19:00,0.2
202,14.540024,121.060016,2024-01-02 13:21:00,0.2
202,14.540032,121.060024,2024-01-02 13:23:00,0.2
202,14.540000,121.060000,2024-01-02 13:25:00,0.2
202,14.540008,121.060008,2024-01-02 13:27:00,0.2
202,14.540016,121.060016,2024-01-02 13:29:00,0.2
202,14.540024,121.060024,2024-01-02 13:31:00,0.2
202,14.540032,121.060000,2024-01-02 13:33:00,0.2
202,14.540000,121.060008,2024-01-02 13:35:00,0.2
202,14.540008,121.060016,2024-01-02 13:37:00,0.2
202,14.540016,121.060024,2024-01-02 13:39:00,0.2
202,14.540024,121.060000,2024-01-02 13:41:00,0.2
202,14.540032,121.060008,2024-01-02 13:43:00,0.2
202,14.540000,121.060016,2024-01-02 13:45:00,0.2
202,14.540008,121.060024,2024-01-02 13:47:00,0.2
202,14.540016,121.060000,2024-01-02 13:49:00,0.2
202,14.540024,121.060008,2024-01-02 13:51:00,0.2
202,14.540032,121.060016,2024-01-02 13:53:00,0.2
202,14.540000,121.060024,2024-01-02 13:55:00,0.2
202,14.540008,121.060000,2024-01-02 13:57:00,0.2
202,14.540016,121.060008,2024-01-02 13:59:00,0.2
202,14.540024,121.060016,2024-01-02 14:01:00,0.2
202,14.540032,121.060024,2024-01-02 14:03:00,0.2
202,14.540000,121.060000,2024-01-02 14:05:00,0.2
202,14.540008,121.060008,2024-01-02 14:07:00,0.2
202,14.540016,121.060016,2024-01-02 14:09:00,0.2
202,14.540024,121.060024,2024-01-02 14:11:00,0.2
202,14.540032,121.060000,2024-01-02 14:13:00,0.2
202,14.540000,121.060008,2024-01-02 14:15:00,0.2
202,14.540008,121.060016,2024-01-02 14:17:00,0.2
202,14.540016,121.060024,2024-01-02 14:19:00,0.2
202,14.540024,121.060000,2024-01-02 14:21:00,0.2
202,14.540032,121.060008,2024-01-02 14:23:00,0.2
